Unit: dimensionless (% of output purchased),government,domestic industries,labor and consumers,foreign entities
agriculture and forestry 01T03,0,0.7360421484155051,0.15210061760868016,0.11185723397581476
coal mining 05,0,0.14865790947587176,4.210766934937676e-4,0.8509210138306345
oil and gas extraction 06,0,0.9999914101443872,0,8.589855612810859e-6
other mining and quarrying 07T08,0,0.14865790947587187,4.2107669349376756e-4,0.8509210138306343
food beverage and tobacco 10T12,0,0.415199949008216,0.5641155156389367,0.020684535352847283
textiles apparel and leather 13T15,1.9380080524471498e-4,0.25811506781811344,0.6788119609841471,0.06287917039249481
wood products 16,2.807998734375946e-4,0.9339248880382602,0.02627598632853115,0.03951832575977106
pulp paper and printing 17T18,0,0.7664297563951548,0.08352451533810015,0.1500457282667451
refined petroleum and coke 19,0,0.7094935573044574,0.2765421647514923,0.013964277944050297
chemicals 20,0,0.42549831868946375,0.40198221758889124,0.17251946372164503
rubber and plastic products 22,6.8514422920286e-5,0.815313052026582,0.13248109316728365,0.05213734038321401
glass and glass products 231,0,0.8735327301000961,0.07945703226834878,0.04701023763155514
cement and other nonmetallic minerals 239,0,0.8735327301000961,0.0794570322683488,0.047010237631555145
iron and steel 241,0,0.9443006254242429,0.022242418491932946,0.03345695608382417
other metals 242,0,0.9616208720111076,0.003484319140572095,0.03489480884832033
metal products except machinery and vehicles 25,0.002914323226101696,0.8735416983702724,0.053731558265524004,0.06981242013810186
computers and electronics 26,0.17904454005968787,0.4558823348401282,0.23914461173324084,0.1259285133669431
appliances and electrical equipment 27,0.010827297268203166,0.6701071124160971,0.2538905310026367,0.06517505931306296
other machinery 28,0.055704671386171654,0.7110429743998843,0.048344113429659975,0.1849082407842841
road vehicles 29,0.06704320607509891,0.4654688233806077,0.3779979416509193,0.08949002889337396
nonroad vehicles 30,0.1890079213412751,0.622557727153379,0.09301830336854697,0.0954160481367989
other manufacturing 31T33,0.011467323796687462,0.32922486408763535,0.598141764597541,0.06116604751813621
energy pipelines and gas processing 352T353,0,0.575584582857645,0.40720141355920075,0.017214003583154197
water and waste 36T39,0,0.7006892529848918,0.2961935538895553,0.0031171931255528917
construction 41T43,0.5521693719474672,0.44766275989460386,0,1.678681579289577e-4
